Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
laFleurTestSuite,Chrome 69.0.3497.100,,2018-10-31 14:45:44,2018-10-31 14:45:53,"8,928s",PASSED
,,,,,,
Test Cases/TestPageAccueil,Chrome 69.0.3497.100,Test simple pour vérifier la première page du site,2018-10-31 14:45:45,2018-10-31 14:45:52,"7,741s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-31 14:45:45,2018-10-31 14:45:48,"3,302s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-31 14:45:48,2018-10-31 14:45:49,"0,335s",PASSED
verifyElementText,Chrome 69.0.3497.100,Vérification de la présence du message d'accueil du site.,2018-10-31 14:45:49,2018-10-31 14:45:49,"0,087s",PASSED
click,Chrome 69.0.3497.100,Accès au catalogue via clic sur le menu,2018-10-31 14:45:49,2018-10-31 14:45:49,"0,133s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-31 14:45:49,2018-10-31 14:45:51,"2,017s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:51,"0,064s",PASSED
verifyElementClickable,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:51,"0,049s",PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:51,"0,039s",PASSED
click,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:51,"0,114s",PASSED
click,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:51,"0,096s",PASSED
click,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:51,"0,101s",PASSED
click,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:51,"0,106s",PASSED
click,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:51,"0,090s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-31 14:45:51,2018-10-31 14:45:52,"0,142s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-31 14:45:52,2018-10-31 14:45:52,"0,130s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-31 14:45:52,2018-10-31 14:45:52,"0,129s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-31 14:45:52,2018-10-31 14:45:52,"0,093s",PASSED
click,Chrome 69.0.3497.100,,2018-10-31 14:45:52,2018-10-31 14:45:52,"0,108s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-31 14:45:52,2018-10-31 14:45:52,"0,051s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-31 14:45:52,2018-10-31 14:45:52,"0,154s",PASSED
click,Chrome 69.0.3497.100,,2018-10-31 14:45:52,2018-10-31 14:45:52,"0,103s",PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-31 14:45:52,2018-10-31 14:45:52,"0,042s",PASSED
